"netease_id","qq_id","name","artist","album","ne_name","ne_artist","qq_name","qq_artist","match_source","synced"
"2100202477","450508691","Biri-Biri","YOASOBI","Biri-Biri","Biri-Biri","YOASOBI","Biri-Biri","YOASOBI","manual","1"
"2114614108","461870184","晴る","ヨルシカ","晴る","晴る","ヨルシカ","晴る","ヨルシカ","manual","1"
"21303946","221214293","Something In The Way","Nirvana","Nevermind","Something In The Way","Nirvana","Something In The Way","Nirvana","manual","1"
"2145152864","639382791","宝莲","刘烨溦","宝莲","宝莲","刘烨溦","","","manual","1"
"2151202025","486871564","Arsonist","塞壬唱片-MSR","Arsonist","Arsonist","塞壬唱片-MSR","Arsonist","塞壬唱片-MSR","name_artist","1"
"22660461","881606","ゆうべは俺が悪かった","ハンバート ハンバート","ニッケルオデオン","ゆうべは俺が悪かった","ハンバート ハンバート","ゆうべは俺が悪かった","Humbert Humbert","manual","1"
"22677570","7410077","ワールドイズマイン","初音ミク","初音ミクベスト ～memories～","ワールドイズマイン","初音ミク","","","manual","1"
"22689960","104868274","砂塵の彼方へ…","Revo","Dream Port","砂塵の彼方へ…","Revo","砂塵の彼方へ…","Revo","manual","1"
"22691884","414137444","Destiny -太陽の花-","島谷ひとみ","Best & Covers","Destiny -太陽の花-","島谷ひとみ","","","manual","1"
"22731459","204177261","you are my king","梶浦由記","Fate／Zero Original Soundtracks Vol.2","you are my king","梶浦由記","you are my king","梶浦由记","manual","1"
"22782025","105163193","美しきもの","Sound Horizon","Roman","美しきもの","Sound Horizon","美しきもの","Sound Horizon","manual","1"
"22782085","1743659","恋人を射ち堕とした日","Sound Horizon","Lost","恋人を射ち堕とした日","Sound Horizon","恋人を射ち堕とした日","Sound Horizon","manual","1"
"25794008","5063374","黑暗骑士","林俊杰","因你而在","黑暗骑士","林俊杰","黑暗骑士 (feat. 五月天)","林俊杰","manual","1"
"26085194","1458838","雪の華","中島美嘉","LØVE","雪の華","中島美嘉","","","manual","1"
